event_id,room_id
E:2WA64JUN94,0226_-1_LG.18
E:ATPE6XB9QZ,0131_04_4.07
E:KV43Y3KVOQ,0226_-1_LG.11
E:PEOPSK3JVT,0226_-1_LG.14
E:6DL9ZE85QT,0313_00_G.10
E:O2KZQ32BSQ,0226_01_1.12
E:KKIYLDRY75,0252_01_1.2
E:5RLSB414M5,0252_01_1.2
E:JFLS1CDJJA,0003_01_1.04
E:QCUTOQVFKH,0131_04_4.07
E:VCAFGGVFTH,0226_-1_LG.11
E:1JF4PCLRCJ,0226_00_GF.14
E:LH8MBVQCBU,0226_01_1.12
E:MVHJAJIZX3,0226_-1_LG.11
E:GJOWF4PRC1,0008_02_2.365
E:BKNDF8X5AB,0252_01_1.2
E:GC2P8ZR2SN,0226_01_1.07
E:LY68B6LT4C,0229_01_1.B
E:DF4UZ2SPWT,0226_-1_LG.10
E:VHEJCUBXGV,0201_00_G.05
E:FSAFZ6NNUS,0201_01_1.02
E:HBRJC647CY,0616_02_02.02-E
E:YEKWDBUHE1,0225_02_2.201
E:ZZQBT8E5VL,0226_-1_LG.19
E:8P8W5IMVTE,0103_01_1.B04
E:35SKR4MEJV,0228_04_4.18
E:JBKWDW7XB3,0226_01_1.07
E:6YQVHKGCBG,0201_00_G.05
E:64UHZVB6MQ,0226_-1_LG.11
E:NBLQU2VI5J,0226_-1_LG.19
E:OIT612LJ1H,0201_00_G.05
E:8L6Z1SSEWM,0003_01_1.04
E:9HGVCN2RTN,0103_01_1.B04
E:6WQY7DE2GC,0551_-1_LG49
E:A574KW9WS7-00001,0228_-1_LG.09
E:MURXVZOBI6,0226_01_1.12
E:7UDXV5IOQH,0003_01_1.04
E:H9XHGHL416,0201_00_G.05
E:H446HFKMCP,0254_01_1.06
E:TSZAIRQ72Z,0226_-1_LG.18
E:633LWVHGFK,0226_01_1.12
E:IPN8F32YKQ,0226_01_1.12
E:9QKQZDOQVI,0201_02_2.06
E:25M8KSGH5S,0616_02_02.02-E
E:HL6ETQT1Y8,0226_00_GF.14
E:TZ7EQ5EKKT,0226_01_1.07
E:8YHLNBMQ9L,0252_01_1.2
E:T3YDVC4RTW,0103_03_3.D02
E:4EGKHIVL9B,0226_01_1.12
E:Q1RQAD26U9,0003_01_1.01
E:964F2QVCNH,0001_01_1.266
E:ME6UJGZX7E,0226_00_GF.14
E:F5RQOVDA6F,0226_-1_LG.10
E:GLDQMA5BLJ,0450_02_2.35
E:VPUJ9UQ16R,0226_-1_LG.19
E:31TDC461PL,0003_00_G.03
E:G869QEPUMB,0335_01_1.1
E:84FGQPX185,0226_01_1.07
E:NAD7MUCK7B,0311_04_4.08
E:QPED51AIKB,0226_-1_LG.18
E:CGGV8VRP1Q,0201_02_2.04
