description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
G.02,24.0,219,21 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0219_00_G.02,rooms_table
1.07,12.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.07,rooms_table
1.08,16.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.08,rooms_table
1.09,8.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.09,rooms_table
1.01,8.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.01,rooms_table
1.10,14.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.10,rooms_table
1.12,10.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0254_01_1.12,rooms_table
1.03,16.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.03,rooms_table
1.04,16.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0254_01_1.04,rooms_table
1.05,8.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.5A,rooms_table
1.06,12.0,254,24 Buccleuch Place,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0254_01_1.06,rooms_table
1.01,14.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_01_1.01,rooms_table
