programme,scheduled_event_count,scenario
Nursing (BN) (Year 4),23,S0
Nursing (MSc by Research) (Full-time) (Year 1),4,S0
Nursing Studies (PhD) (Full-time) (Year 1),7,S0
Nursing with Pre-registration (Adult) (MN) (Year 1),12,S0
Nursing with Pre-registration (Adult) (MN) (Year 2),7,S0
One Health Models of Disease (PhD with Integrated Study) (Year 1),6,S0
Operational Research (MSc) (Full-time) (Year 1),18,S0
Operational Research with Computational Optimization (MSc) (Full-time) (Year 1),16,S0
Operational Research with Data Science (MSc) - 1 Year (Year 1),35,S0
Operational Research with Data Science (MSc) - 2 Years (Part-time) (Year 2),8,S0
Operational Research with Risk (MSc) (Full-time) (Year 1),9,S0
Optimization and Operational Research (PhD) (Full-time) (Year 1),3,S0
Optimization and Operational Research (PhD) (Full-time) (Year 4),1,S0
Outdoor Education (MSc) - 30 Months (Part-time) (Year 1),13,S0
Outdoor Environmental and Sustainability Education (MSc) (Full-time) - 15 Months (Year 1),15,S0
Painting BA (Hons) (Year 3),16,S0
Painting BA (Hons) (Year 4),11,S0
Palaeontology and Geobiology (MSc)(R) - 1 Year (Full-time) (Year 1),4,S0
Particle and Nuclear Physics (MSc) - 1 Year (Full-time) (Year 1),39,S0
Performance Costume (BA Hons) (Year 1),7,S0
Performance Costume (BA Hons) (Year 2),16,S0
Performance Costume (BA Hons) (Year 3),12,S0
Performance Costume (BA Hons) (Year 4),11,S0
Performance Psychology (ICL) (MSc) - 2-6 Years (Year 2),10,S0
Performance Psychology (MSc) (Full-time) (Year 1),23,S0
Performance Psychology (MSc) (Full-time) (Year 2),16,S0
Persian and Middle Eastern Studies (MA Hons) (Year 4),8,S0
PhD in Machine Learning Systems (PhD with Integrated Study) (Year 1),19,S0
Pharmacology (BMedSci Hons) (Year 3),31,S0
Pharmacology (BMedSci Hons) (Year 4),4,S0
Pharmacology BSc (Hons) (Year 1),21,S0
Pharmacology BSc (Hons) (Year 2),43,S0
Pharmacology BSc (Hons) (Year 3),53,S0
Pharmacology BSc (Hons) (Year 4),42,S0
Philosophy (MA Hons) (Year 1),100,S0
Philosophy (MA Hons) (Year 2),263,S0
Philosophy (MA Hons) (Year 3),39,S0
Philosophy (MA Hons) (Year 4),17,S0
Philosophy (MSc by Research) (Full-time) (Year 1),4,S0
Philosophy (MSc) (Full-time) (Year 1),14,S0
Philosophy (MSc) (Part-time) (Year 1),2,S0
Philosophy (MSc) (Part-time) (Year 2),4,S0
Philosophy (PhD) (Full-time) (Year 1),7,S0
Philosophy and Economics (MA Hons) (Year 1),25,S0
Philosophy and Economics (MA Hons) (Year 2),33,S0
Philosophy and Economics (MA Hons) (Year 3),24,S0
Philosophy and Economics (MA Hons) (Year 4),35,S0
Philosophy and English Language (MA Hons) (Year 3),5,S0
Philosophy and English Language (MA Hons) (Year 4),4,S0
Philosophy and English Literature (MA Hons) (Year 1),35,S0
Philosophy and English Literature (MA Hons) (Year 2),40,S0
Philosophy and English Literature (MA Hons) (Year 3),27,S0
Philosophy and English Literature (MA Hons) (Year 4),17,S0
Philosophy and Greek (MA Hons) (Year 4),3,S0
Philosophy and Linguistics (MA Hons) (Year 1),25,S0
Philosophy and Linguistics (MA Hons) (Year 2),10,S0
Philosophy and Linguistics (MA Hons) (Year 3),4,S0
Philosophy and Linguistics (MA Hons) (Year 4),19,S0
Philosophy and Mathematics (MA Hons) (Year 1),44,S0
Philosophy and Mathematics (MA Hons) (Year 2),53,S0
Philosophy and Mathematics (MA Hons) (Year 3),29,S0
Philosophy and Mathematics (MA Hons) (Year 4),20,S0
Philosophy and Politics (MA Hons) (Year 1),48,S0
Philosophy and Politics (MA Hons) (Year 2),69,S0
Philosophy and Politics (MA Hons) (Year 3),49,S0
Philosophy and Politics (MA Hons) (Year 4),53,S0
Philosophy and Psychology (MA Hons) (Year 1),23,S0
Philosophy and Psychology (MA Hons) (Year 2),61,S0
Philosophy and Psychology (MA Hons) (Year 3),36,S0
Philosophy and Psychology (MA Hons) (Year 4),28,S0
Philosophy and Theology (MA Hons) (Year 1),85,S0
Philosophy and Theology (MA Hons) (Year 2),126,S0
Philosophy and Theology (MA Hons) (Year 3),53,S0
Philosophy and Theology (MA Hons) (Year 4),27,S0
Phonetics (MSc)  - 1 Year (Full-time) (Year 1),5,S0
Photography BA (Hons) (Year 3),15,S0
Photography BA (Hons) (Year 4),11,S0
Physical Activity for Health (BMedSci Hons) (Year 3),3,S0
Physical Activity for Health (MSc) - 1 Year (Full-time) (Year 1),12,S0
Physical Education MA (Hons) (Year 1),22,S0
Physical Education MA (Hons) (Year 2),17,S0
Physical Education MA (Hons) (Year 3),19,S0
Physical Education MA (Hons) (Year 4),12,S0
Physics (BSc Hons) (Year 1),48,S0
Physics (BSc Hons) (Year 2),108,S0
Physics (BSc Hons) (Year 3),39,S0
Physics (BSc Hons) (Year 4),46,S0
Physics (MPhys) (Year 1),38,S0
Physics (MPhys) (Year 2),94,S0
Physics (MPhys) (Year 3),41,S0
Physics (MPhys) (Year 4),42,S0
Physics (MPhys) (Year 5),55,S0
Physics (PhD) (Full-time) (Year 1),4,S0
Physics (PhD) (Full-time) (Year 2),4,S0
Physics (PhD) (Full-time) (Year 3),6,S0
Physics (PhD) (Full-time) (Year 4),3,S0
Physics with Meteorology (BSc Hons) (Year 2),15,S0
Physics with Meteorology (BSc Hons) (Year 3),21,S0
Physics with Meteorology (MPhys) (Year 2),17,S0
Physics with Meteorology (MPhys) (Year 3),26,S0
Physics with Meteorology (MPhys) (Year 5),6,S0
Physics with Year Abroad (MPhys) (Year 1),31,S0
Physics with Year Abroad (MPhys) (Year 2),44,S0
Physics with Year Abroad (MPhys) (Year 3),30,S0
Physics with Year Abroad (MPhys) (Year 5),40,S0
Physiology BSc (Hons) (Year 2),17,S0
Planetary Health (Fusion On-site) (Full-time) (MSc) (Year 1),9,S0
Planetary Health (Fusion On-site) (Part-Time) - 2 Years (MSc) (Year 2),1,S0
Playwriting (MSc) (Full-time) (Year 1),5,S0
Playwriting (MSc) (Part-time) (Year 2),2,S0
Politics (MA Hons) (Year 1),61,S0
Politics (MA Hons) (Year 2),167,S0
Politics (MA Hons) (Year 3),92,S0
Politics (MA Hons) (Year 4),83,S0
Politics (PhD) (Full-time) (Year 1),11,S0
Politics (PhD) (Full-time) (Year 2),3,S0
Politics (PhD) (Full-time) (Year 3),5,S0
Politics (PhD) (Full-time) (Year 4),1,S0
Politics (PhD) (Part-time) (Year 3),1,S0
Politics with Internship (ESRC) (PhD) (Year 1),2,S0
Politics with Quantitative Methods (MA Hons) (Full-time) (Year 1),17,S0
Politics with Quantitative Methods (MA Hons) (Full-time) (Year 2),31,S0
Politics with Quantitative Methods (MA Hons) (Full-time) (Year 3),6,S0
Politics with Quantitative Methods (MA Hons) (Full-time) (Year 4),6,S0
"Politics, Philosophy and Economics MA (Hons) (Year 1)",42,S0
"Politics, Philosophy and Economics MA (Hons) (Year 2)",37,S0
"Politics, Philosophy and Economics MA (Hons) (Year 3)",39,S0
"Politics, Philosophy and Economics MA (Hons) (Year 4)",75,S0
Population Health Sciences (PhD) (Full-time) (Year 1),1,S0
Portuguese and English Literature (MA Hons) (Year 2),7,S0
Portuguese and Linguistics (MA Hons) (Year 4),7,S0
Precision Medicine (PhD with Integrated Study) (Non-UoE Lead with Glasgow) - Full-time 4 Years (Year 1),6,S0
Precision Medicine (PhD with Integrated Study) (UoE lead with Glasgow) - Full-time 4 Years (Year 2),4,S0
Precision Medicine (PhD with Integrated Study) (UoE lead with Glasgow) - Full-time 4 Years (Year 3),1,S0
Precision Medicine (PhD with Integrated Study) (non-UoE lead with Glasgow) - Part-time 8 Years (Year 1),1,S0
Primary Education PGDE (Year 1),52,S0
Product Design (BA Hons) (Year 1),9,S0
Product Design (BA Hons) (Year 2),35,S0
Product Design (BA Hons) (Year 3),16,S0
Product Design (BA Hons) (Year 4),8,S0
Professional Legal Practice (PgDip) (Full-time) (Year 1),73,S0
Professional Legal Practice (PgDip) (Part-time) (Year 1),21,S0
Professional Legal Practice (PgDip) (Part-time) (Year 2),11,S0
Psychological Research (MSc) (Full-time) (Year 1),11,S0
Psychological Research (MSc) (Part-time) (Year 1),5,S0
Psychological Research (MSc) (Part-time) (Year 2),1,S0
Psychological Therapies (ICL) (MSc) - 2-6 Years (Year 1),1,S0
Psychological Therapies (ICL) (MSc) - 2-6 Years (Year 2),4,S0
Psychological Therapies (ICL) (MSc) - 2-6 Years (Year 3),1,S0
Psychological Therapies (MSc) - 2 Years (Year 1),6,S0
Psychological Therapies (MSc) - 2 Years (Year 2),9,S0
Psychology (BMedSci Hons) (Year 3),12,S0
Psychology (BSc Hons) (Year 4),2,S0
Psychology (BSc Hons) - 4 Years (Full-time) (Year 1),141,S0
Psychology (BSc Hons) - 4 Years (Full-time) (Year 2),253,S0
Psychology (BSc Hons) - 4 Years (Full-time) (Year 3),54,S0
Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),47,S0
Psychology (MSc by Research) (Full-time) (Year 1),2,S0
Psychology (PhD) (Full-time) (Year 1),3,S0
Psychology (PhD) (Full-time) (Year 3),2,S0
Psychology and Business MA (Hons) (Year 1),13,S0
Psychology and Business MA (Hons) (Year 2),47,S0
Psychology and Business MA (Hons) (Year 3),27,S0
Psychology and Business MA (Hons) (Year 4),41,S0
Psychology and Economics (MA Hons) (Year 1),21,S0
Psychology and Economics (MA Hons) (Year 2),18,S0
Psychology and Economics (MA Hons) (Year 3),13,S0
Psychology and Economics (MA Hons) (Year 4),22,S0
Psychology and Linguistics (MA Hons) (Year 1),30,S0
Psychology and Linguistics (MA Hons) (Year 2),16,S0
Psychology and Linguistics (MA Hons) (Year 3),13,S0
Psychology and Linguistics (MA Hons) (Year 4),30,S0
Psychology of Individual Differences (MSc) (Full-time) (Year 1),5,S0
Psychology of Language (MSc) (Full-time) (Year 1),6,S0
Psychology of Language (MSc) (Part-time) (Year 1),3,S0
Psychology of Language (MSc) (Part-time) (Year 2),7,S0
Psychology of Mental Health (Conversion) (ICL) (MSc) - 2-6 Years (Year 1),5,S0
Psychology of Mental Health (Conversion) (ICL) (MSc) - 2-6 Years (Year 2),6,S0
Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),21,S0
Psychology of Mental Health (Conversion) (MSc) - 2 Years (Part-Time) (Year 2),4,S0
Psychotherapy and Counselling (DPsych) - 4 Years (Full-time) (Year 1),4,S0
Psychotherapy and Counselling (DPsych) - 4 Years (Full-time) (Year 2),4,S0
Psychotherapy and Counselling (DPsych) - 4 Years (Full-time) (Year 3),8,S0
Psychotherapy and Counselling (DPsych) - 4 Years (Full-time) (Year 5),1,S0
Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 1),36,S0
Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 2),1,S0
Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 3),2,S0
Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 5),2,S0
Public Health (MPH) (Full Time) (Year 1),25,S0
Public Health (MPH) (Full Time) (Year 2),4,S0
Public Health (MPH) (Part Time) (Year 1),15,S0
Public Policy (MSc) - 1 Year (Full-time) (Year 1),28,S0
Public Policy (MSc) - 2 Years (Part-time) (Year 1),2,S0
Quantitative Genetics and Genome Analysis (MSc) (Year 1),9,S0
Religion and Literature  (MSc) - 1 Year (Full-Time) (Year 1),8,S0
Religion and Literature (MSc) - 2 Years (Part-Time) (Year 2),3,S0
Religion and Literature (MTH) - 2 Years (Part-Time) (Year 2),6,S0
Religious Studies (MA Hons) (Year 1),35,S0
Religious Studies (MA Hons) (Year 2),46,S0
Religious Studies (MA Hons) (Year 3),23,S0
Religious Studies (MA Hons) (Year 4),27,S0
Religious Studies (MSc) (Full-time) (Year 1),6,S0
Religious Studies (PhD) (Full-time) (Year 2),3,S0
Religious Studies (PhD) (Full-time) (Year 5),3,S0
Religious Studies MA(RS)(H) (Part-time) (Year 4),2,S0
Religious Studies and English Literature (MA Hons) (Year 1),22,S0
Religious Studies and English Literature (MA Hons) (Year 2),18,S0
Religious Studies and English Literature (MA Hons) (Year 3),9,S0
Religious Studies and English Literature (MA Hons) (Year 4),15,S0
Reproductive Biology (BMedSci Hons) (Year 3),20,S0
Reproductive Biology BSc (Hons) (Year 1),17,S0
Reproductive Biology BSc (Hons) (Year 2),13,S0
Reproductive Biology BSc (Hons) (Year 3),31,S0
Reproductive Biology BSc (Hons) (Year 4),21,S0
Russian Studies (MA Hons) (Year 1),7,S0
Russian Studies (MA Hons) (Year 2),34,S0
Russian Studies (MA Hons) (Year 4),18,S0
Russian Studies and Classics (MA Hons) (Year 2),10,S0
Russian Studies and English Literature (MA Hons) (Year 1),8,S0
Russian Studies and English Literature (MA Hons) (Year 2),12,S0
Russian Studies and English Literature (MA Hons) (Year 4),8,S0
Russian Studies and History (MA Hons) (Year 1),22,S0
Russian Studies and History (MA Hons) (Year 2),38,S0
Russian Studies and History (MA Hons) (Year 4),12,S0
Russian Studies and Philosophy (MA Hons) (Year 2),10,S0
Russian Studies and Politics (MA Hons) (Year 1),8,S0
Russian Studies and Politics (MA Hons) (Year 2),16,S0
Russian Studies and Politics (MA Hons) (Year 4),20,S0
Russian Studies and Scandinavian Studies (MA Hons) (Year 2),14,S0
Russian Studies and Scandinavian Studies (MA Hons) (Year 4),12,S0
Russian Studies and Social Policy (MA Hons) (Year 4),13,S0
Russian Studies and Spanish (MA Hons) (Year 1),9,S0
Russian Studies and Spanish (MA Hons) (Year 2),28,S0
Russian Studies and Spanish (MA Hons) (Year 4),14,S0
Scandinavian Studies (MA Hons) (Year 1),11,S0
Scandinavian Studies (MA Hons) (Year 2),32,S0
Scandinavian Studies (MA Hons) (Year 4),9,S0
Scandinavian Studies II (MSc by Research) (Full-time) (Year 1),2,S0
Scandinavian Studies and Classics (MA Hons) (Year 2),17,S0
Scandinavian Studies and English Literature (MA Hons) (Year 1),13,S0
Scandinavian Studies and English Literature (MA Hons) (Year 2),14,S0
Scandinavian Studies and History (MA Hons) (Year 1),12,S0
Scandinavian Studies and History (MA Hons) (Year 4),6,S0
Scandinavian Studies and Linguistics (MA Hons) (Year 1),11,S0
Scandinavian Studies and Linguistics (MA Hons) (Year 2),9,S0
Scandinavian Studies and Linguistics (MA Hons) (Year 4),7,S0
Scandinavian Studies and Politics (MA Hons) (Year 1),13,S0
Scandinavian Studies and Politics (MA Hons) (Year 2),16,S0
Scandinavian Studies and Spanish (MA Hons) (Year 1),11,S0
Scandinavian Studies and Spanish (MA Hons) (Year 4),15,S0
Science Communication and Public Engagement (MSc) (Full-time) (Year 1),4,S0
Science and Religion (MSc) (Full-time) (Year 1),5,S0
Science and Religion (MSc) (Part-time) (Year 1),2,S0
Science and Religion (PhD) - 3 Years (Year 1),3,S0
Science and Technology Studies (ESRC) (PhD) (Year 1),3,S0
Science and Technology Studies (MSc by Research) (Full-time) (Year 1),5,S0
Science and Technology Studies (PhD) (Full-time) (Year 3),1,S0
Science and Technology in Society (MSc) (Full-time) (Year 1),4,S0
Scottish Ethnology (MA Hons) (Year 2),17,S0
Scottish Ethnology (MA Hons) (Year 4),2,S0
Scottish Ethnology and Archaeology (MA Hons) (Year 4),2,S0
Scottish Ethnology and Celtic (MA Hons) (Year 2),15,S0
Scottish Ethnology and English Literature (MA Hons) (Year 2),12,S0
Scottish Ethnology and English Literature (MA Hons) (Year 3),2,S0
Scottish Ethnology and Scottish History (MA Hons) (Year 1),10,S0
Scottish Ethnology and Scottish History (MA Hons) (Year 2),6,S0
Scottish Ethnology and Scottish History (MA Hons) (Year 3),3,S0
Scottish Ethnology and Scottish History (MA Hons) (Year 4),4,S0
Scottish Literature (MA Hons) (Year 1),7,S0
Scottish Literature (MA Hons) (Year 3),3,S0
Scottish Literature and Classics (MA Hons) (Year 2),7,S0
Scottish Literature and Classics (MA Hons) (Year 4),1,S0
Scottish Literature and History (MA Hons) (Year 1),7,S0
Scottish Literature and History (MA Hons) (Year 2),13,S0
Scottish Literature and History (MA Hons) (Year 3),4,S0
Scottish Literature and History (MA Hons) (Year 4),2,S0
Scottish Literature and Scottish History (MA Hons) (Year 1),10,S0
Scottish Literature and Scottish History (MA Hons) (Year 2),7,S0
Sculpture BA (Hons) (Year 3),14,S0
Sculpture BA (Hons) (Year 4),11,S0
Secondary Education PGDE (Art and Design) (Year 1),12,S0
Secondary Education PGDE (Biology and Chemistry) (Year 1),14,S0
Secondary Education PGDE (Biology) (Year 1),14,S0
Secondary Education PGDE (Chemistry and Biology) (Year 1),14,S0
Secondary Education PGDE (Chemistry) (Year 1),14,S0
Secondary Education PGDE (Design and Technology) (Year 1),12,S0
Secondary Education PGDE (Drama) (Year 1),12,S0
Secondary Education PGDE (English) (Year 1),24,S0
Secondary Education PGDE (French and Spanish) (Year 1),5,S0
Secondary Education PGDE (French) (Year 1),9,S0
Secondary Education PGDE (Geography) (Year 1),14,S0
Secondary Education PGDE (German and Italian) (Year 1),5,S0
Secondary Education PGDE (German and Spanish) (Year 1),6,S0
Secondary Education PGDE (History) (Year 1),19,S0
Secondary Education PGDE (Maths and Physics) (Year 1),10,S0
Secondary Education PGDE (Maths) (Year 1),13,S0
Secondary Education PGDE (Music) (Year 1),10,S0
Secondary Education PGDE (Physical Education) (Year 1),21,S0
Secondary Education PGDE (Physics and Mathematics) (Year 1),10,S0
Secondary Education PGDE (Physics) (Year 1),10,S0
Semester 1 Courses for Visiting Students BIO (Year 1),34,S0
Semester 1 Courses for Visiting Students CHE (Year 1),16,S0
Semester 1 Courses for Visiting Students ENG (Year 1),10,S0
Semester 1 Courses for Visiting Students GEO (Year 1),7,S0
Semester 1 Courses for Visiting Students INF (Year 1),29,S0
Semester 1 Courses for Visiting Students PHY (Year 1),30,S0
"Sensing, Processing and AI for Defence and Security (UoE Lead with Heriot-Watt) (PhD with Integrated Study) (Year 1)",18,S0
Service Management and Design (Fusion On-site) (ICL) (MSc) - 3 Years (Part-time) (Year 2),1,S0
Service Management and Design (Fusion On-site) (MSc) - 1 Year (Full-time) (Year 1),7,S0
Service Management and Design (Fusion Online) (ICL) (MSc) - 3 Years (Part-time) (Year 2),2,S0
Signal Processing and Communications (MSc) (Full-time) (Year 1),14,S0
Signal Processing and Communications (MSc) (Full-time) (Year 2),7,S0
Social Anthropology (MA Hons) (Year 1),54,S0
Social Anthropology (MA Hons) (Year 2),113,S0
Social Anthropology (MA Hons) (Year 3),31,S0
Social Anthropology (MA Hons) (Year 4),17,S0
Social Anthropology (MSc) (Full-time) (Year 1),12,S0
Social Anthropology (MSc) (Part-time) (Year 1),2,S0
Social Anthropology (PhD) (Full-time) (Year 1),3,S0
Social Anthropology and Politics (MA Hons) (Year 1),39,S0
Social Anthropology and Politics (MA Hons) (Year 2),66,S0
Social Anthropology and Politics (MA Hons) (Year 3),30,S0
Social Anthropology and Politics (MA Hons) (Year 4),25,S0
Social Anthropology and Social Policy (MA Hons) (Year 1),22,S0
Social Anthropology and Social Policy (MA Hons) (Year 2),12,S0
Social Anthropology and Social Policy (MA Hons) (Year 3),14,S0
Social Anthropology and Social Policy (MA Hons) (Year 4),7,S0
Social Anthropology with Development (MA Hons) (Year 1),11,S0
Social Anthropology with Development (MA Hons) (Year 2),27,S0
Social Anthropology with Development (MA Hons) (Year 3),20,S0
Social Anthropology with Development (MA Hons) (Year 4),9,S0
Social Policy (PhD) (Full-time) (Year 1),6,S0
Social Policy (PhD) (Full-time) (Year 2),4,S0
Social Policy and Economics (MA Hons) (Year 1),29,S0
Social Policy and Economics (MA Hons) (Year 2),20,S0
Social Policy and Economics (MA Hons) (Year 3),15,S0
Social Policy and Economics (MA Hons) (Year 4),19,S0
Social Policy and Law (MA Hons) (Year 2),12,S0
Social Policy and Law (MA Hons) (Year 3),4,S0
Social Policy and Politics (MA Hons) (Year 1),26,S0
Social Policy and Politics (MA Hons) (Year 2),27,S0
Social Policy and Politics (MA Hons) (Year 3),38,S0
Social Policy and Politics (MA Hons) (Year 4),30,S0
Social Policy and Sociology (MA Hons) (Year 1),11,S0
Social Policy and Sociology (MA Hons) (Year 2),14,S0
Social Policy and Sociology (MA Hons) (Year 3),17,S0
Social Policy and Sociology (MA Hons) (Year 4),15,S0
Social Policy with Quantitative Methods (MA Hons) (Full-time) (Year 2),6,S0
Social Policy with Quantitative Methods (MA Hons) (Full-time) (Year 3),8,S0
Social Policy with Quantitative Methods (MA Hons) (Full-time) (Year 4),16,S0
Social Policy with Social and Political Studies (MA Hons) (Year 2),15,S0
Social Policy with Social and Political Studies (MA Hons) (Year 3),9,S0
Social Policy with Social and Political Studies (MA Hons) (Year 4),5,S0
Social Psychology (MSc) - 1 Year (Full-time) (Year 1),6,S0
Social Research (MSc) (Full-time) (Year 1),15,S0
Social Research (MSc) (Part-time) - 2 Years (Year 1),1,S0
Social Research (MSc) (Part-time) - 2 Years (Year 2),3,S0
Social Work (BSc Hons) (Year 1),6,S0
Social Work (BSc Hons) (Year 2),65,S0
Social Work (BSc Hons) (Year 3),17,S0
Social Work (BSc Hons) (Year 4),15,S0
Social Work (MSW) (Year 1),17,S0
Social Work (MSW) (Year 2),9,S0
Social Work (PhD) (Full-time) (Year 1),3,S0
Social Work with Internship (ESRC) (PhD) (Year 2),1,S0
Social and Political Sciences (MSc)(R) - 1 Year (Full-time) (Year 1),2,S0
Social and Political Sciences (MScR) (Year 1),1,S0
Sociology (MA Hons) (Year 1),38,S0
Sociology (MA Hons) (Year 2),131,S0
Sociology (MA Hons) (Year 3),53,S0
Sociology (MA Hons) (Year 4),29,S0
Sociology (PhD) (Full-time) (Year 1),5,S0
Sociology (PhD) (Full-time) (Year 2),4,S0
Sociology (PhD) (Full-time) (Year 5),3,S0
Sociology and Global Change (MSc) (Full-time) (Year 1),14,S0
Sociology and Politics (MA Hons) (Year 1),39,S0
Sociology and Politics (MA Hons) (Year 2),58,S0
Sociology and Politics (MA Hons) (Year 3),32,S0
Sociology and Politics (MA Hons) (Year 4),27,S0
Sociology and Psychology (MA Hons) (Year 1),27,S0
Sociology and Psychology (MA Hons) (Year 2),38,S0
Sociology and Psychology (MA Hons) (Year 3),39,S0
Sociology and Psychology (MA Hons) (Year 4),21,S0
Sociology and Social Anthropology (MA Hons) (Year 1),25,S0
Sociology and Social Anthropology (MA Hons) (Year 2),55,S0
Sociology and Social Anthropology (MA Hons) (Year 3),19,S0
Sociology and Social Anthropology (MA Hons) (Year 4),16,S0
Sociology with Internship (ESRC) (PhD) (Year 1),4,S0
Sociology with Internship (ESRC) (PhD) (Year 2),2,S0
Sociology with Quantitative Methods (MA Hons) (Full-time) (Year 1),9,S0
Sociology with Quantitative Methods (MA Hons) (Full-time) (Year 2),50,S0
Sociology with Quantitative Methods (MA Hons) (Full-time) (Year 3),15,S0
Sociology with Quantitative Methods (MA Hons) (Full-time) (Year 4),2,S0
Software Engineering (BEng Hons) (Year 1),33,S0
Software Engineering (BEng Hons) (Year 2),37,S0
Software Engineering (BEng Hons) (Year 3),36,S0
Software Engineering (BEng Hons) (Year 4),46,S0
Soils and Sustainability (SAC) (MSc) (Full-time) (Year 1),6,S0
Soils and Sustainability (SAC) (MSc) (Part-time) - 2 years (Year 1),4,S0
Soils and Sustainability (SAC) (MSc) (Part-time) - 3 years (Year 1),3,S0
Sound Design (MSc) (Full-time) (Year 1),18,S0
Sound Design (MSc) (Part-time) (Year 1),2,S0
Spanish (MA Hons) (Year 1),22,S0
Spanish (MA Hons) (Year 2),48,S0
Spanish (MA Hons) (Year 4),30,S0
Spanish and Business MA (Hons) (Year 1),16,S0
Spanish and Business MA (Hons) (Year 3),2,S0
Spanish and Business MA (Hons) (Year 4),24,S0
Spanish and Classics (MA Hons) (Year 1),18,S0
Spanish and Classics (MA Hons) (Year 2),12,S0
Spanish and Classics (MA Hons) (Year 4),10,S0
Spanish and English Literature (MA Hons) (Year 1),28,S0
Spanish and English Literature (MA Hons) (Year 2),47,S0
Spanish and English Literature (MA Hons) (Year 4),17,S0
Spanish and History (MA Hons) (Year 1),54,S0
Spanish and History (MA Hons) (Year 2),36,S0
Spanish and History (MA Hons) (Year 4),22,S0
Spanish and History of Art (MA Hons) (Year 2),30,S0
Spanish and History of Art (MA Hons) (Year 4),10,S0
Spanish and Linguistics (MA Hons) (Year 1),41,S0
Spanish and Linguistics (MA Hons) (Year 2),41,S0
Spanish and Linguistics (MA Hons) (Year 4),27,S0
Spanish and Philosophy (MA Hons) (Year 1),15,S0
Spanish and Philosophy (MA Hons) (Year 2),17,S0
Spanish and Philosophy (MA Hons) (Year 4),13,S0
Spanish and Politics (MA Hons) (Year 1),26,S0
Spanish and Politics (MA Hons) (Year 2),58,S0
Spanish and Politics (MA Hons) (Year 4),25,S0
Spanish and Portuguese (MA Hons) (Year 1),25,S0
Spanish and Portuguese (MA Hons) (Year 2),29,S0
Spanish and Portuguese (MA Hons) (Year 4),7,S0
Speech and Language Processing (MSc) (Full-time) (Year 1),24,S0
Speech and Language Processing (MSc) (Part-time) (Year 1),5,S0
Speech and Language Processing (MSc) (Part-time) (Year 2),7,S0
Sport Management (BSc Hons) (Year 1),43,S0
Sport Management (BSc Hons) (Year 2),49,S0
Sport Management (BSc Hons) (Year 3),17,S0
"Sport Policy, Management and International Development (MSC) (Year 1)",15,S0
"Sport Policy, Management and International Development (MSC) (Year 2)",2,S0
Sport and Recreation Management (BSc Hons) (Year 4),9,S0
"Sport, Physical Education and Health Sciences (PhD) - 3 Years (Full-time) (Year 2)",5,S0
Sports Science Medicine (BMedSci Hons) (Year 3),17,S0
Statistics (PhD) (Full-time) (Year 1),6,S0
Statistics and Operational Research (MSc) (Full-time) (Year 1),6,S0
Statistics with Data Science (MSc) (Year 1),24,S0
Strength and Conditioning (MSc)  - 1 Year (Full-time) (Year 1),13,S0
Strength and Conditioning (MSc)  - 1 Year (Full-time) (Year 2),4,S0
Strength and Conditioning (MSc) - 2 Years (Part-time) (Year 2),9,S0
Structural Engineering with Architecture (BEng Hons) (Year 1),16,S0
Structural Engineering with Architecture (BEng Hons) (Year 2),21,S0
Structural Engineering with Architecture (BEng Hons) (Year 3),11,S0
Structural Engineering with Architecture (BEng Hons) (Year 4),6,S0
Structural Engineering with Architecture (MEng Hons) (Year 1),10,S0
Structural Engineering with Architecture (MEng Hons) (Year 2),20,S0
Structural Engineering with Architecture (MEng Hons) (Year 3),11,S0
Structural Engineering with Architecture (MEng Hons) (Year 4),11,S0
Structural Engineering with Architecture (MEng Hons) (Year 5),15,S0
Structural and Fire Safety Engineering (BEng Hons) (Year 2),18,S0
Structural and Fire Safety Engineering (BEng Hons) (Year 3),10,S0
Structural and Fire Safety Engineering (MEng Hons) (Year 3),10,S0
Structural and Fire Safety Engineering (MEng Hons) (Year 4),11,S0
Structural and Fire Safety Engineering (MEng Hons) (Year 5),8,S0
Study Abroad/Exchange Programme: Full Year (CAHSS) (Year 1),28,S0
Study Abroad/Exchange Programme: Semester 1 (CAHSS) (Year 1),172,S0
Sustainable Development (Geography) MA (Hons) - 4 Years (Full-Time) (Year 3),25,S0
Sustainable Development (Geography) MA (Hons) - 4 Years (Full-Time) (Year 4),14,S0
Sustainable Development (Politics and International Relations) MA (Hons) - 4 Years (Full-Time) (Year 3),27,S0
Sustainable Development (Politics and International Relations) MA (Hons) - 4 Years (Full-Time) (Year 4),22,S0
"Sustainable Development (Science, Technology and Innovation Studies) (MA Hons) (Year 3)",5,S0
"Sustainable Development (Science, Technology and Innovation Studies) (MA Hons) (Year 4)",18,S0
Sustainable Development (Social Anthropology) MA (Hons) - 4 years (Full-Time) (Year 3),18,S0
Sustainable Development (Social Anthropology) MA (Hons) - 4 years (Full-Time) (Year 4),12,S0
