programme,scheduled_event_count,scenario
Arabic and Spanish (MA Hons) (Year 4),29,S0
Arabic with Islamic and Middle Eastern Studies MA (Hons) (Year 1),15,S0
Arabic with Islamic and Middle Eastern Studies MA (Hons) (Year 2),18,S0
Arabic with Islamic and Middle Eastern Studies MA (Hons) (Year 4),10,S0
Archaeology (MA Hons) (Year 1),28,S0
Archaeology (MA Hons) (Year 2),29,S0
Archaeology (MA Hons) (Year 3),17,S0
Archaeology (MA Hons) (Year 4),17,S0
Archaeology (MSc) (Full-time) (Year 1),11,S0
Archaeology (MSc) (Part-time) (Year 1),9,S0
Archaeology (MSc) (Part-time) (Year 2),1,S0
Archaeology (PhD) (Part-time) - 6 Years (Year 1),1,S0
Archaeology and Ancient History MA (Hons) (Year 1),46,S0
Archaeology and Ancient History MA (Hons) (Year 2),29,S0
Archaeology and Ancient History MA (Hons) (Year 3),23,S0
Archaeology and Ancient History MA (Hons) (Year 4),12,S0
Archaeology and Social Anthropology (MA Hons) (Year 1),46,S0
Archaeology and Social Anthropology (MA Hons) (Year 2),21,S0
Archaeology and Social Anthropology (MA Hons) (Year 3),21,S0
Archaeology and Social Anthropology (MA Hons) (Year 4),19,S0
Archaeology by Distance (PHD) (Year 1),1,S0
Architectural History and Archaeology (MA Hons) (Year 1),8,S0
Architectural History and Archaeology (MA Hons) (Year 4),3,S0
Architectural History and Heritage MA(Hons) (Year 1),19,S0
Architectural History and Heritage MA(Hons) (Year 2),24,S0
Architectural History and Heritage MA(Hons) (Year 3),8,S0
Architectural History and Heritage MA(Hons) (Year 4),10,S0
Architectural and Urban Design (MSc) (Year 1),4,S0
Architecture (AHRC) (PhD) - 3.5 Years (Full-Time) (Year 1),1,S0
Architecture (BA) (Year 3),13,S0
Architecture (BA) (Year 4),6,S0
Architecture (MA Hons) (Year 1),21,S0
Architecture (MA Hons) (Year 2),38,S0
Architecture (MA Hons) (Year 3),13,S0
Architecture (MA Hons) (Year 4),34,S0
Architecture (MArch) (Year 1),4,S0
Architecture (MArch) (Year 2),4,S0
Architecture (PhD) (Full-time) (Year 1),1,S0
Architecture (PhD) (Full-time) (Year 2),1,S0
Architecture (PhD) (Part-time) (Year 4),1,S0
Architecture by Design (PhD) (Full-time) (Year 2),1,S0
"Architecture, Landscape & Environment (MSc) (Year 1)",10,S0
Art PhD - 3 Years (Full-Time) (Year 1),1,S0
Art PhD - 3 Years (Full-Time) (Year 2),16,S0
Art PhD - 3 Years (Full-Time) (Year 3),1,S0
Art by Distance (PhD) - 6 Years (Part-time) (Year 2),1,S0
Artificial Intelligence (BSc Hons) (Year 1),30,S0
Artificial Intelligence (BSc Hons) (Year 2),37,S0
Artificial Intelligence (BSc Hons) (Year 3),27,S0
Artificial Intelligence (BSc Hons) (Year 4),49,S0
Artificial Intelligence (MSc) (Full-time) (Year 1),99,S0
Artificial Intelligence (MSc) (Full-time) (Year 2),21,S0
Artificial Intelligence (MSc) (Part-time) - 2 Years (Year 1),12,S0
Artificial Intelligence and Computer Science (BSc Hons) (Year 1),69,S0
Artificial Intelligence and Computer Science (BSc Hons) (Year 2),44,S0
Artificial Intelligence and Computer Science (BSc Hons) (Year 3),66,S0
Artificial Intelligence and Computer Science (BSc Hons) (Year 4),94,S0
Artificial Intelligence and Mathematics (BSc Hons) (Year 4),6,S0
Artificial Intelligence for Biomedical Innovation (PhD with Integrated Study) (Year 1),24,S0
"Arts, Humanities and Social Science (BA) (AHSS) (BUS) - (Full-time) (Year 3)",10,S0
"Arts, Humanities and Social Science (BA) (AHSS) (ECA) - (Full-time) (Year 2)",8,S0
"Arts, Humanities and Social Science (BA) (AHSS) (ECN) - (Full-time) (Year 3)",10,S0
"Arts, Humanities and Social Science (BA) (AHSS) (HCA) - (Full-time) (Year 2)",27,S0
"Arts, Humanities and Social Science (BA) (AHSS) (HCA) - (Full-time) (Year 3)",10,S0
"Arts, Humanities and Social Science (BA) (AHSS) (LLC) - (Full-time) (Year 2)",9,S0
"Arts, Humanities and Social Science (BA) (AHSS) (LLC) - (Full-time) (Year 3)",12,S0
"Arts, Humanities and Social Science (BA) (AHSS) (PPL) - (Full-time) (Year 2)",22,S0
"Arts, Humanities and Social Science (BA) (AHSS) (PPL) - (Full-time) (Year 3)",66,S0
"Arts, Humanities and Social Science (BA) (AHSS) (SPS) - (Full-time) (Year 1)",15,S0
"Arts, Humanities and Social Science (BA) (AHSS) (SPS) - (Full-time) (Year 2)",5,S0
"Arts, Humanities and Social Science (BA) (AHSS) (SPS) - (Full-time) (Year 3)",39,S0
Astrobiology and Planetary Sciences MSc (Year 1),15,S0
Astronomy (PhD) (Full-time) (Year 1),2,S0
Astronomy (PhD) (Full-time) (Year 2),3,S0
Astronomy (PhD) (Full-time) (Year 4),6,S0
Astrophysics (BSc Hons) (Year 1),41,S0
Astrophysics (BSc Hons) (Year 2),54,S0
Astrophysics (BSc Hons) (Year 3),38,S0
Astrophysics (BSc Hons) (Year 4),27,S0
Astrophysics (MPhys) (Year 1),37,S0
Astrophysics (MPhys) (Year 2),75,S0
Astrophysics (MPhys) (Year 3),39,S0
Astrophysics (MPhys) (Year 4),38,S0
Astrophysics (MPhys) (Year 5),41,S0
Atmospheric and Environmental Sciences (PhD) (Year 1),1,S0
Atmospheric and Environmental Sciences (PhD) (Year 2),1,S0
Atmospheric and Environmental Sciences (PhD) (Year 3),1,S0
BSc Ordinary Sciences BIO (Year 1),13,S0
BSc Ordinary Sciences BIO (Year 3),10,S0
BSc Ordinary Sciences ENG (Year 3),23,S0
BSc Ordinary Sciences INF (Year 2),20,S0
BSc Ordinary Sciences INF (Year 3),17,S0
BSc Ordinary Sciences MAT (Year 3),25,S0
BSc Ordinary Sciences PHY (Year 3),22,S0
Banking Innovation and Risk Analytics (MSc) - 1 Year (Full-time) (Year 1),5,S0
Biblical Studies (MTh) (Full-time) (Year 1),9,S0
Biochemistry (BMedSci Hons) (Year 3),12,S0
Biochemistry (MSC) (Year 1),10,S0
Bioethics Law and Society (BMedSci) (Year 3),11,S0
Bioinformatics (MSc) (Year 1),19,S0
Biological Sciences (BSc Hons) (Year 1),67,S0
Biological Sciences (BSc Hons) (Year 2),82,S0
Biological Sciences (Biochemistry) (BSc Hons) (Year 2),15,S0
Biological Sciences (Biochemistry) (BSc Hons) (Year 3),65,S0
Biological Sciences (Biochemistry) (BSc Hons) (Year 4),19,S0
Biological Sciences (Biotechnology) (BSc Hons) (Year 3),63,S0
Biological Sciences (Biotechnology) (BSc Hons) (Year 4),16,S0
Biological Sciences (Biotechnology) with Management (BSc Hons) (Year 3),13,S0
Biological Sciences (Biotechnology) with Management (BSc Hons) (Year 4),8,S0
Biological Sciences (Cell Biology) (BSc Hons) (Year 3),20,S0
Biological Sciences (Cell Biology) (BSc Hons) (Year 4),17,S0
"Biological Sciences (Development, Regeneration and Stem Cells) (BSc Hons) (Year 3)",70,S0
"Biological Sciences (Development, Regeneration and Stem Cells) (BSc Hons) (Year 4)",14,S0
Biological Sciences (Ecology) (BSc Hons) (Year 3),18,S0
Biological Sciences (Ecology) (BSc Hons) (Year 4),23,S0
Biological Sciences (Evolutionary Biology) (BSc Hons) (Year 3),23,S0
Biological Sciences (Evolutionary Biology) (BSc Hons) (Year 4),22,S0
Biological Sciences (Genetics) (BSc Hons) (Year 3),42,S0
Biological Sciences (Genetics) (BSc Hons) (Year 4),16,S0
Biological Sciences (Genetics) with Management (BSc Hons) (Year 3),10,S0
Biological Sciences (Immunology) (BSc Hons) (Year 3),63,S0
Biological Sciences (Immunology) (BSc Hons) (Year 4),15,S0
Biological Sciences (Immunology) with Management (BSc Hons) (Year 3),21,S0
Biological Sciences (Immunology) with Management (BSc Hons) (Year 4),12,S0
Biological Sciences (Molecular Biology) (BSc Hons) (Year 2),11,S0
Biological Sciences (Molecular Biology) (BSc Hons) (Year 3),25,S0
Biological Sciences (Molecular Biology) (BSc Hons) (Year 4),18,S0
Biological Sciences (Molecular Genetics) (BSc Hons) (Year 3),46,S0
Biological Sciences (Molecular Genetics) (BSc Hons) (Year 4),15,S0
Biological Sciences (Molecular Genetics) with Management (BSc Hons) (Year 3),13,S0
Biological Sciences (PhD) - 3 Years (Full-time) (Year 1),8,S0
Biological Sciences (PhD) - 3 Years (Full-time) (Year 2),3,S0
Biological Sciences (Plant Science) (BSc Hons) (Year 2),12,S0
Biological Sciences (Plant Science) (BSc Hons) (Year 3),37,S0
Biological Sciences (Plant Science) (BSc Hons) (Year 4),12,S0
Biological Sciences (Zoology) (BSc Hons) (Year 2),26,S0
Biological Sciences (Zoology) (BSc Hons) (Year 3),36,S0
Biological Sciences (Zoology) (BSc Hons) (Year 4),20,S0
Biological Sciences (with Internship) (PhD) - 3 Years (Full-time) (Year 1),9,S0
Biological Sciences (with Internship) (PhD) - 3 Years (Full-time) (Year 2),5,S0
Biological Sciences with Management (BSc Hons) (Year 1),10,S0
Biological Sciences with Management (BSc Hons) (Year 2),18,S0
Biomedical Artificial Intelligence (PhD) - 3 Years (Full-Time) (Year 1),2,S0
Biomedical Artificial Intelligence (PhD) - 3 Years (Full-Time) (Year 4),1,S0
Biomedical Science (Professional Practice) (BSc Hons) (Year 1),3,S0
Biomedical Science (Professional Practice) (BSc Hons) (Year 2),4,S0
Biomedical Science (Professional Practice) (BSc Hons) (Year 4),2,S0
Biomedical Sciences (BMedSci Hons) (Year 3),14,S0
Biomedical Sciences (Life Sciences) (MSc by Research) (Year 1),2,S0
Biomedical Sciences BSc (Hons) (Year 1),45,S0
Biomedical Sciences BSc (Hons) (Year 2),101,S0
Biomedical Sciences BSc (Hons) (Year 3),83,S0
Biomedical Sciences BSc (Hons) (Year 4),64,S0
Biomedical Sciences BSc (VetSci) (Hons) - 1 Year (Intercalation) (Year 1),3,S0
Biomedical Sciences BSc(O) (Year 3),4,S0
