scenario,student_id,programme,n_scheduled_events,clash_count,has_clash,days_considered,free_lunch_days,has_majority_lunch
S1,Student00002,Counselling Studies (PhD) (Part-time) (Year 1),1,0,0,1,1,1
S1,Student00004,English Literature and Classics (MA Hons) (Year 2),12,2,1,5,3,1
S1,Student00006,Medical Law and Ethics (LLM) (Full-time) (Year 1),2,0,0,2,2,1
S1,Student00007,Climate Change Finance & Investment (MSc) - 1 Year (Full-Time) (Year 1),6,0,0,5,4,1
S1,Student00012,Natural Language Processing (PhD with Integrated Study) - 4 Years (Full-Time) (Year 2),2,0,0,1,0,0
S1,Student00013,Professional Legal Practice (PgDip) (Full-time) (Year 1),18,20,1,5,3,1
S1,Student00014,Mental Health in Children and Young People: Psychological Approaches (Online Learning)(ICL)(MSc) 2-4 Years (Year 1),1,0,0,1,1,1
S1,Student00016,Mental Health in Children and Young People: Psychological Approaches (Online Learning) (ICL) (MSc) - 2-6 Years (Year 3),1,0,0,1,1,1
S1,Student00020,Psychological Therapies (ICL) (MSc) - 2-6 Years (Year 2),1,0,0,1,1,1
S1,Student00023,Law (LLB Ord) (Graduate Entry) (Year 2),4,1,1,2,1,0
S1,Student00026,Clinical Psychology - Full Time (ESRC) (PhD) (Year 2),1,0,0,1,1,1
S1,Student00031,Primary Education PGDE (Year 1),15,3,1,4,0,0
S1,Student00032,Soils and Sustainability (SAC) (MSc) (Full-time) (Year 1),1,0,0,1,1,1
S1,Student00035,Data and Artificial Intelligence Ethics (Fusion On-Site)(Part-time) - 2 Years (MSc) (Year 1),3,1,1,1,0,0
S1,Student00037,Secondary Education PGDE (History) (Year 1),5,0,0,3,2,1
S1,Student00040,Music (Joint with University of Bologna) (UNA Europa) (PhD) (Year 3),3,0,0,3,2,1
S1,Student00043,Social Policy with Quantitative Methods (MA Hons) (Full-time) (Year 4),5,1,1,3,2,1
S1,Student00044,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 3),1,0,0,1,1,1
S1,Student00046,Counselling (PgDip) - 3 Years (Part-time) (Year 3),2,1,1,1,1,1
S1,Student00047,Social Work (BSc Hons) (Year 4),9,4,1,4,3,1
S1,Student00048,Professional Legal Practice (PgDip) (Part-time) (Year 1),14,15,1,4,3,1
S1,Student00050,Secondary Education PGDE (Biology) (Year 1),6,1,1,3,1,0
S1,Student00051,Counselling (PgDip) - 3 Years (Part-time) (Year 1),19,72,1,1,0,0
S1,Student00052,Professional Legal Practice (PgDip) (Full-time) (Year 1),16,19,1,4,2,0
S1,Student00055,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00056,Public Policy (MSc) - 2 Years (Part-time) (Year 1),1,0,0,1,1,1
S1,Student00057,Secondary Education PGDE (Geography) (Year 1),4,0,0,2,1,0
S1,Student00059,Primary Education PGDE (Year 1),22,13,1,4,1,0
S1,Student00062,Primary Education PGDE (Year 1),16,7,1,4,0,0
S1,Student00063,Social Work (MSW) (Year 2),9,2,1,4,1,0
S1,Student00065,Primary Education PGDE (Year 1),22,13,1,4,1,0
S1,Student00066,Counselling (PgDip) - 3 Years (Part-time) (Year 3),2,1,1,1,1,1
S1,Student00067,Sound Design (MSc) (Part-time) (Year 1),2,0,0,2,2,1
S1,Student00070,"Energy, Society and Sustainability (MSc) - 1 Year (Full-time) (Year 1)",2,0,0,2,2,1
S1,Student00074,Nursing with Pre-registration (Adult) (MN) (Year 1),6,1,1,4,4,1
S1,Student00079,Theology MA(Hons) (Year 3),2,0,0,2,1,0
S1,Student00080,Professional Legal Practice (PgDip) (Part-time) (Year 1),13,16,1,3,2,1
S1,Student00081,Service Management and Design (Fusion On-site) (ICL) (MSc) - 3 Years (Part-time) (Year 2),1,0,0,1,1,1
S1,Student00085,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00087,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00090,Psychology of Mental Health (Conversion) (ICL) (MSc) - 2-6 Years (Year 1),2,0,0,2,2,1
S1,Student00091,Counselling Studies (MSc) (Full-time) (Year 1),20,72,1,2,0,0
S1,Student00092,Academic Practice (Higher Education) (ICL) (PgCert) - 1-3 Years (Year 3),5,1,1,3,2,1
S1,Student00097,Law (LLB Hons) (Year 4),1,0,0,1,1,1
S1,Student00099,Law (LLB Ord) (Graduate Entry) (Year 1),7,0,0,4,3,1
S1,Student00100,Divinity (BD) (Honours) (Year 4),3,0,0,2,1,0
S1,Student00101,Biomedical Science (Professional Practice) (BSc Hons) (Year 1),3,0,0,1,0,0
S1,Student00102,Veterinary Medicine (Clinical) (Graduate Entry) (BVMS) (Year 3),41,44,1,5,1,0
S1,Student00104,Psychological Therapies (MSc) - 2 Years (Year 1),4,0,0,3,2,1
S1,Student00105,Archaeology and Social Anthropology (MA Hons) (Year 4),4,1,1,3,2,1
S1,Student00106,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,0,0,1,1,1
S1,Student00108,Earth Sciences (MEarthSci Hons) - 5 Years (Full-time) (Year 2),11,3,1,5,2,0
S1,Student00110,Law (LLB Ord) (Graduate Entry) (Year 2),19,7,1,5,0,0
S1,Student00111,Medicine (Pre-Clinical) (MBChB) (Year 1),26,15,1,5,1,0
S1,Student00112,Law (LLB Hons) (Year 4),7,4,1,3,1,0
S1,Student00114,History (PhD) (Part-time) - 6 Years (Year 1),1,0,0,1,0,0
S1,Student00115,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 1),19,72,1,1,0,0
S1,Student00119,Medicine (Pre-Clinical) (MBChB) (Year 2),24,34,1,5,2,0
S1,Student00121,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,1,1
S1,Student00122,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00124,Physical Education MA (Hons) (Year 4),4,1,1,2,2,1
S1,Student00126,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00127,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,0,0
S1,Student00129,Sustainable Energy Systems (MSc) (Year 1),2,0,0,2,1,0
S1,Student00130,Japanese and Linguistics (MA Hons) (Year 4),12,0,0,4,1,0
S1,Student00131,Secondary Education PGDE (English) (Year 1),5,1,1,2,1,0
S1,Student00132,Divinity MDiv(Hons) (Year 3),2,0,0,1,0,0
S1,Student00133,Physics (BSc Hons) (Year 2),10,2,1,4,2,0
S1,Student00134,Childhood Practice (BA Ord) (Year 3),2,0,0,1,1,1
S1,Student00137,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00138,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00140,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 5),2,1,1,1,1,1
S1,Student00142,Architecture (AHRC) (PhD) - 3.5 Years (Full-Time) (Year 1),1,0,0,1,1,1
S1,Student00143,Design PhD - 3 Years (Full-Time) (Year 1),2,0,0,2,1,0
S1,Student00146,Linguistics and English Language (PhD) (Full-time) (Year 2),2,0,0,2,0,0
S1,Student00147,Medicine (HCP-Med) (MBChB) (Year 4),5,2,1,2,1,0
S1,Student00148,Film Studies (MSc) (Part-time) (Year 1),5,0,0,4,2,0
S1,Student00149,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,0,0
S1,Student00150,Medicine (Clinical) (MBChB) (Year 5),5,0,0,3,2,1
S1,Student00153,Middle Eastern Studies (MA Hons) (Year 4),7,4,1,2,2,1
S1,Student00155,Public Health (MPH) (Part Time) (Year 1),5,0,0,4,3,1
S1,Student00156,Medicine (Clinical) (MBChB) (Year 5),5,0,0,3,2,1
S1,Student00157,Secondary Education PGDE (English) (Year 1),7,2,1,3,2,1
S1,Student00159,Sociology (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student00160,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00161,Counselling (MCouns) (Part-time) - 4 years (Year 2),1,0,0,1,1,1
S1,Student00162,Scottish Ethnology (MA Hons) (Year 2),7,2,1,3,2,1
S1,Student00163,Medicine (HCP-Med) (MBChB) (Year 4),3,0,0,2,1,0
S1,Student00164,Electrical and Mechanical Engineering (BEng Hons) (Year 2),13,4,1,5,3,1
S1,Student00165,History of Art (MA Hons) (Year 3),3,0,0,3,2,1
S1,Student00167,English Literature (MA Hons) (Year 1),5,0,0,3,3,1
S1,Student00168,Social Work (BSc Hons) (Year 3),10,4,1,3,0,0
S1,Student00169,Economics with Finance (MA Hons) (Year 1),8,1,1,4,2,0
S1,Student00172,Medicine (Pre-Clinical) (MBChB) (Year 1),24,15,1,5,1,0
S1,Student00174,Agriculture and Food Security (MScR) - 1 year (Full-time) (Year 3),4,0,0,2,0,0
S1,Student00175,Distance in Counselling Studies (PhD) - 6 Years (Part-time) (Year 2),1,0,0,1,1,1
S1,Student00176,Medical Sciences (BSc Hons) (Year 4),8,2,1,3,1,0
S1,Student00177,Medicine (HCP-Med) (MBChB) (Year 4),5,0,0,3,2,1
S1,Student00181,History (MSc) (Part-time) (Year 1),1,0,0,1,0,0
S1,Student00182,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00183,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00184,Law (LLB Ord) (Graduate Entry) (Year 2),19,7,1,5,1,0
S1,Student00185,Biological Sciences (BSc Hons) (Year 1),9,2,1,5,3,1
S1,Student00186,Applied Sport Science (BSc Hons) (Year 4),7,7,1,3,3,1
S1,Student00187,Medicine (HCP-Med) (MBChB) (Year 4),5,0,0,3,2,1
S1,Student00189,Medicine (Clinical) (MBChB) (Year 6),1,0,0,1,1,1
S1,Student00190,Nursing with Pre-registration (Adult) (MN) (Year 1),6,1,1,4,4,1
S1,Student00191,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00193,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00194,Secondary Education PGDE (Art and Design) (Year 1),3,1,1,1,1,1
S1,Student00197,Medicine (Clinical) (MBChB) (Year 5),5,2,1,2,1,0
S1,Student00200,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,0,0
S1,Student00202,Law (LLB Hons) (Year 2),19,7,1,5,1,0
S1,Student00203,Health in Social Science MA(Hons) - 4 Years (Full-Time (Year 4),4,0,0,3,3,1
S1,Student00204,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00205,Social Work (BSc Hons) (Year 4),9,4,1,4,3,1
S1,Student00207,Environment and Development (MSc) (Part-time) - 2 Years (Year 1),1,0,0,1,1,1
S1,Student00209,Nationalism in Global Perspective (MSc) - 1 Year (Full-time) (Year 1),1,0,0,1,1,1
S1,Student00210,Medicine (Clinical) (MBChB) (Year 6),1,0,0,1,0,0
S1,Student00211,Professional Legal Practice (PgDip) (Full-time) (Year 1),17,21,1,4,4,1
S1,Student00212,Psychological Therapies (MSc) - 2 Years (Year 1),4,0,0,3,2,1
S1,Student00214,"Informatics: LFCS: Foundations of Computer Science, Databases, Software & Systems Modelling  (PhD) (Full-time) (Year 1)",4,0,0,2,1,0
S1,Student00215,Divinity MDiv(Hons) (Year 2),6,0,0,4,2,0
S1,Student00216,Counselling (MCouns) (Part-time) - 4 years (Year 3),2,1,1,1,1,1
S1,Student00217,Graphic Design (BA Hons) (Year 4),1,0,0,1,1,1
S1,Student00218,Applied Sport Science (BSc Hons) (Year 4),1,0,0,1,1,1
S1,Student00219,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00221,Professional Legal Practice (PgDip) (Full-time) (Year 1),18,20,1,5,1,0
S1,Student00222,Earth Observation and Geoinformation Management (MSc) - 2 Years (Part-time) (Year 2),2,1,1,1,1,1
S1,Student00223,Animation (BA Hons) (Year 4),3,1,1,2,1,0
S1,Student00224,Psychological Therapies (MSc) - 2 Years (Year 1),4,0,0,3,2,1
S1,Student00226,Medicine (Clinical) (MBChB) (Year 5),2,0,0,2,1,0
S1,Student00227,Professional Legal Practice (PgDip) (Full-time) (Year 1),18,22,1,4,1,0
S1,Student00229,Professional Legal Practice (PgDip) (Part-time) (Year 1),13,15,1,4,4,1
S1,Student00230,Creative Music Practice (PhD) (Full-time) (Year 1),1,0,0,1,1,1
S1,Student00231,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00232,Secondary Education PGDE (Design and Technology) (Year 1),4,1,1,1,0,0
S1,Student00233,Primary Education PGDE (Year 1),15,3,1,4,0,0
S1,Student00234,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,1,1
S1,Student00235,Counselling (MCouns) (Part-time) - 4 years (Year 3),1,0,0,1,1,1
S1,Student00238,Creative Industries (MSc) - 1 Year (Full-time) (Year 1),12,11,1,4,2,0
S1,Student00240,Law Society Registration - Full Year (Part-time) (Year 1),1,0,0,1,1,1
S1,Student00241,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),3,0,0,3,3,1
S1,Student00242,Literature and Modernity: 1900 to the Present (MSc) (Full-time) (Year 1),1,0,0,1,0,0
S1,Student00243,Professional Legal Practice (PgDip) (Full-time) (Year 1),16,24,1,4,1,0
S1,Student00244,Neuroscience BSc (Hons) (Year 1),7,1,1,3,0,0
S1,Student00248,Nursing with Pre-registration (Adult) (MN) (Year 2),7,2,1,3,2,1
S1,Student00249,Medicine (Pre-Clinical) (MBChB) (Year 1),26,30,1,5,1,0
S1,Student00250,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00251,Public Health (MPH) (Full Time) (Year 1),6,1,1,4,3,1
S1,Student00253,Secondary Education PGDE (Biology) (Year 1),6,1,1,3,1,0
S1,Student00255,Illustration (MA (eca)) (Year 1),2,0,0,2,2,1
S1,Student00256,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00257,Law (LLB Ord) (Graduate Entry) (Year 1),7,0,0,4,3,1
S1,Student00258,Counselling (MCouns) (Part-time) - 4 years (Year 5),1,0,0,1,1,1
S1,Student00259,Precision Medicine (PhD with Integrated Study) (Non-UoE Lead with Glasgow) - Full-time 4 Years (Year 1),4,0,0,3,2,1
S1,Student00261,Medicine (Clinical) (MBChB) (Year 4),4,0,0,2,1,0
S1,Student00264,Medicine (Clinical) (MBChB) (Year 6),1,0,0,1,1,1
S1,Student00265,Counselling (MCouns) (Part-time) - 4 years (Year 3),1,0,0,1,1,1
S1,Student00266,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00267,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00268,Medicine (Clinical) (MBChB) (Year 6),1,0,0,1,0,0
S1,Student00269,Learning in Communities MA (Hons) (Year 4),2,0,0,2,1,0
S1,Student00270,Linguistics (MSc) (Full-time) (Year 1),7,0,0,4,2,0
S1,Student00271,Public Health (MPH) (Full Time) (Year 2),3,0,0,3,2,1
S1,Student00272,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00273,Medicine (Clinical) (MBChB) (Year 5),5,2,1,2,1,0
S1,Student00274,Counselling (PgDip) - 3 Years (Part-time) (Year 3),1,0,0,1,1,1
S1,Student00275,Law (LLB Ord) (Graduate Entry) (Year 2),6,4,1,2,2,1
S1,Student00276,Professional Legal Practice (PgDip) (Full-time) (Year 1),16,19,1,4,1,0
S1,Student00277,Professional Legal Practice (PgDip) (Full-time) (Year 1),17,20,1,4,2,0
S1,Student00278,Clinical Psychology (PhD) (Full-time) (Year 1),5,3,1,1,0,0
S1,Student00279,Professional Legal Practice (PgDip) (Full-time) (Year 1),15,19,1,3,2,1
S1,Student00280,Medicine (Clinical) (MBChB) (Year 4),4,0,0,2,1,0
S1,Student00281,Computational Applied Mathematics (MSc) - 1 Year (Full-time) (Year 1),6,0,0,4,2,0
S1,Student00282,Medicine (Clinical) (MBChB) (Year 4),1,0,0,1,1,1
S1,Student00283,Professional Legal Practice (PgDip) (Full-time) (Year 1),17,24,1,5,4,1
S1,Student00284,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00287,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00289,Precision Medicine (PhD with Integrated Study) (Non-UoE Lead with Glasgow) - Full-time 4 Years (Year 1),2,0,0,2,1,0
S1,Student00290,Global Environment and Climate Change Law (LLM) (Full-time) (Year 1),4,1,1,3,3,1
S1,Student00292,Psychology (BSc Hons) - 4 Years (Full-time) (Year 3),7,0,0,4,3,1
S1,Student00293,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,1,0
S1,Student00294,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,1,0
S1,Student00295,Primary Education PGDE (Year 1),22,13,1,4,1,0
S1,Student00297,Psychology of Individual Differences (MSc) (Full-time) (Year 1),4,0,0,3,1,0
S1,Student00298,Medicine (Clinical) (MBChB) (Year 6),1,0,0,1,1,1
S1,Student00299,Sociology with Internship (ESRC) (PhD) (Year 1),4,0,0,3,0,0
S1,Student00300,Learning in Communities MA (Hons) (Year 3),2,0,0,2,2,1
S1,Student00301,Japanese (MA Hons) (Year 2),14,7,1,5,2,0
S1,Student00302,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00303,Law and History (LLB Hons) (Year 4),1,0,0,1,1,1
S1,Student00304,Law (LLB Ord) (Graduate Entry) (Year 1),7,0,0,5,3,1
S1,Student00305,English Literature (MA Hons) (Year 3),3,0,0,2,2,1
S1,Student00307,High Performance Computing with Data Science (MSc) 3 Years (Part-time) (Year 3),3,0,0,2,1,0
S1,Student00308,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),3,0,0,3,1,0
S1,Student00309,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00311,Illustration (MA (eca)) (Year 1),2,0,0,2,2,1
S1,Student00312,Law (LLB Ord) (Graduate Entry) (Year 2),19,7,1,5,1,0
S1,Student00313,Bioinformatics (MSc) (Year 1),2,0,0,2,1,0
S1,Student00315,Global Strategy and Sustainability (MSc) - 1 Year (Full-time) (Year 1),9,2,1,4,1,0
S1,Student00316,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00317,Secondary Education PGDE (Chemistry and Biology) (Year 1),6,1,1,3,1,0
S1,Student00318,Speech and Language Processing (MSc) (Full-time) (Year 1),11,6,1,4,3,1
S1,Student00320,Nursing Studies (PhD) (Full-time) (Year 1),5,3,1,1,0,0
S1,Student00322,Nursing Studies (PhD) (Full-time) (Year 1),5,3,1,2,0,0
S1,Student00324,Counselling (PgDip) - 3 Years (Part-time) (Year 1),18,72,1,1,0,0
S1,Student00325,Advanced Care (PhD with Integrated Study) - 4 Years (Full-time) (Year 1),6,0,0,4,3,1
S1,Student00327,Carbon Management (MSC) (Year 1),1,0,0,1,0,0
S1,Student00330,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,2,1
S1,Student00332,Medicine (Clinical) (MBChB) (Year 4),1,0,0,1,1,1
S1,Student00333,Linguistics and English Language (PhD) (Full-time) (Year 1),1,0,0,1,0,0
S1,Student00334,Data and Artificial Intelligence Ethics (Fusion On-site)(Full-time) - 1 Year (MSc) (Year 1),3,1,1,1,0,0
S1,Student00336,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,2,1
S1,Student00338,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00339,Medicine (Pre-Clinical) (MBChB) (Year 1),29,35,1,5,1,0
S1,Student00342,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00343,Law (LLM) (Full-time) (Year 1),3,0,0,2,0,0
S1,Student00345,Professional Legal Practice (PgDip) (Full-time) (Year 1),19,27,1,5,4,1
S1,Student00347,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00348,Counselling (PgDip) - 3 Years (Part-time) (Year 4),2,1,1,1,1,1
S1,Student00349,Linguistics and English Language (PhD) (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00352,Marketing (MSc) (Year 1),2,0,0,2,2,1
S1,Student00353,"Informatics: ANC: Machine Learning, Computational Neuroscience, Computational Biology (PhD) (Full-time) (Year 3)",2,0,0,2,2,1
S1,Student00354,Architecture (MArch) (Year 1),4,0,0,3,3,1
S1,Student00355,Medicine (Clinical) (MBChB) (Year 4),1,0,0,1,1,1
S1,Student00357,Philosophy (MA Hons) (Year 3),6,0,0,5,2,0
S1,Student00358,Medicine (Pre-Clinical) (MBChB) (Year 1),20,13,1,5,3,1
S1,Student00359,Secondary Education PGDE (French) (Year 1),4,1,1,2,2,1
S1,Student00360,Classics (MSc) (Part-time) (Year 1),3,0,0,3,3,1
S1,Student00361,Geophysics and Meteorology (MEarthPhys) (Year 5),1,0,0,1,0,0
S1,Student00363,Law (LLB Ord) (Graduate Entry) (Year 2),18,9,1,5,1,0
S1,Student00364,Secondary Education PGDE (English) (Year 1),5,2,1,2,2,1
S1,Student00365,Primary Education PGDE (Year 1),22,13,1,4,1,0
S1,Student00366,Secondary Education PGDE (Drama) (Year 1),4,1,1,1,0,0
S1,Student00367,Criminology and Criminal Justice (MSc) (Full-time) (Year 1),2,0,0,2,0,0
S1,Student00368,Secondary Education PGDE (English) (Year 1),4,1,1,2,1,0
S1,Student00369,Physical Education MA (Hons) (Year 4),9,6,1,2,1,0
S1,Student00370,Nursing with Pre-registration (Adult) (MN) (Year 2),7,2,1,3,2,1
S1,Student00371,Biological Sciences (Immunology) (BSc Hons) (Year 4),12,8,1,4,2,0
S1,Student00372,Scottish Literature and Scottish History (MA Hons) (Year 1),8,0,0,4,2,0
S1,Student00373,Psychology (BSc Hons) (Year 4),1,0,0,1,1,1
S1,Student00374,Secondary Education PGDE (Maths and Physics) (Year 1),5,1,1,3,2,1
S1,Student00375,Social Work (MSW) (Year 2),9,2,1,4,1,0
S1,Student00376,Professional Legal Practice (PgDip) (Full-time) (Year 1),17,19,1,5,4,1
S1,Student00377,Secondary Education PGDE (History) (Year 1),3,0,0,2,1,0
S1,Student00378,Translation Studies (MSc) (Full-time) (Year 1),6,0,0,4,2,0
S1,Student00379,Law (LLB Ord) (Graduate Entry) (Year 2),6,4,1,2,2,1
S1,Student00381,Politics (MA Hons) (Year 4),2,0,0,2,2,1
S1,Student00382,Secondary Education PGDE (Music) (Year 1),3,1,1,1,1,1
S1,Student00383,"Transformative Learning and Teaching (Nursery - S3, Generalist) (MSc) - 21 Months (Year 2)",5,1,1,2,0,0
S1,Student00384,Law (LLB Ord) (Graduate Entry) (Year 2),19,8,1,5,0,0
S1,Student00385,Public Health (MPH) (Full Time) (Year 1),4,0,0,3,2,1
S1,Student00387,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,1,0
S1,Student00388,International Development (MSc) (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00389,Social Work (BSc Hons) (Year 4),9,4,1,4,3,1
S1,Student00391,Childhood Practice (BA Ord) (Year 4),2,0,0,1,0,0
S1,Student00392,Psychology of Mental Health (Conversion) (ICL) (MSc) - 2-6 Years (Year 1),1,0,0,1,1,1
S1,Student00393,Health in Social Science MA(Hons) - 4 Years (Full-Time (Year 4),5,0,0,2,0,0
S1,Student00396,Electrical Power Engineering (MSc) - 1 Year (Full-time) (Year 1),9,3,1,4,1,0
S1,Student00397,Mathematics (BSc Hons) (Year 4),2,0,0,2,1,0
S1,Student00399,Physics (BSc Hons) (Year 1),5,0,0,4,3,1
S1,Student00400,Management (MSc) (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00401,Biomedical Sciences (Life Sciences) (MSc by Research) (Year 1),2,0,0,2,2,1
S1,Student00402,Linguistics and English Language (PhD) (Full-time) (Year 2),1,0,0,1,0,0
S1,Student00403,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00405,Health in Social Science (PHD) (Year 2),4,3,1,1,0,0
S1,Student00406,Economics and Politics (MA Hons) (Year 4),3,0,0,2,2,1
S1,Student00407,Classical Art and Archaeology (MSc) (Full-time) (Year 1),3,0,0,3,3,1
S1,Student00408,"Transformative Learning and Teaching (Nursery - S3, Generalist) (MSc) - 21 Months (Year 2)",5,1,1,2,0,0
S1,Student00409,"Future Infrastructure, Climate Change and Sustainability (MSc) (Fusion On-site) (Part-time) - 2 years (Year 1)",2,0,0,1,0,0
S1,Student00410,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00411,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00412,Psychotherapy and Counselling (DPsych) - 4 Years (Full-time) (Year 2),2,1,1,1,1,1
S1,Student00414,Law Society Registration - Full Year (Part-time) (Year 1),4,1,1,2,1,0
S1,Student00415,Physics (PhD) (Full-time) (Year 4),3,0,0,3,3,1
S1,Student00416,"Intermediality: Literature, Film and the Arts in Dialogue (MSc) - 1 Year (Full-Time) (Year 1)",3,1,1,1,0,0
S1,Student00420,Illustration (MA (eca)) (Year 1),3,0,0,3,3,1
S1,Student00421,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,1,0
S1,Student00427,"Narrative Futures: Art, Data, Society (MSc) (Fusion On-site) (Full-time) - 1 year (Year 1)",2,1,1,1,0,0
S1,Student00428,Medicine (Clinical) (MBChB) (Year 5),5,2,1,2,1,0
S1,Student00431,Medicine (Clinical) (MBChB) (Year 6),1,0,0,1,1,1
S1,Student00434,Classics (PhD) (Full-time) (Year 3),4,0,0,3,3,1
S1,Student00435,Artificial Intelligence (MSc) (Full-time) (Year 1),7,0,0,4,3,1
S1,Student00436,Veterinary Medicine (Clinical) (Graduate Entry) (BVMS) (Year 3),38,40,1,5,2,0
S1,Student00437,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,2,1
S1,Student00438,Architecture (MArch) (Year 2),2,0,0,2,2,1
S1,Student00439,Medicine (Clinical) (MBChB) (Year 5),2,0,0,2,1,0
S1,Student00440,Physics (PhD) (Full-time) (Year 3),2,0,0,2,0,0
S1,Student00441,Architecture (MArch) (Year 1),2,0,0,1,1,1
S1,Student00443,Medicine (Clinical) (MBChB) (Year 5),3,0,0,2,1,0
S1,Student00444,Artificial Intelligence (MSc) (Full-time) (Year 1),7,1,1,4,3,1
S1,Student00445,Medicine (Clinical) (MBChB) (Year 5),5,2,1,2,1,0
S1,Student00446,Informatics (MInf) (Year 5),3,0,0,3,1,0
S1,Student00448,Medicine (Clinical) (MBChB) (Year 5),5,2,1,2,1,0
S1,Student00449,Architecture (MA Hons) (Year 4),3,1,1,2,2,1
S1,Student00450,Psychological Therapies (MSc) - 2 Years (Year 1),4,0,0,3,2,1
