scenario,student_id,programme,n_scheduled_events,clash_count,has_clash,days_considered,free_lunch_days,has_majority_lunch
S1,Student06641,Applied Sport Science (BSc Hons) (Year 4),10,7,1,4,4,1
S1,Student06642,Mathematics and Statistics (BSc Hons) (Year 4),5,0,0,4,2,0
S1,Student06643,Economics (MA Hons) (Year 4),5,0,0,3,1,0
S1,Student06644,International Business with Chinese MA (Hons) (Year 4),6,0,0,4,0,0
S1,Student06645,German and Spanish (MA Hons) (Year 4),6,0,0,4,2,0
S1,Student06646,Computer Science and Mathematics (BSc Hons) (Year 4),5,0,0,4,2,0
S1,Student06647,Economics with Finance (MA Hons) (Year 4),4,0,0,3,1,0
S1,Student06648,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),5,0,0,3,0,0
S1,Student06649,Mechanical Engineering (BEng Hons) (Year 3),8,0,0,5,3,1
S1,Student06650,Electronics and Electrical Engineering (BEng Hons) (Year 4),8,1,1,5,3,1
S1,Student06651,Computer Science and Mathematics (BSc Hons) (Year 4),6,2,1,3,3,1
S1,Student06652,International Business with Chinese MA (Hons) (Year 4),8,3,1,4,1,0
S1,Student06653,Economics (MA Hons) (Year 4),4,0,0,3,1,0
S1,Student06654,Physics (MPhys) (Year 4),16,8,1,5,2,0
S1,Student06655,Electronics and Electrical Engineering (MEng Hons) (Year 4),11,2,1,5,1,0
S1,Student06656,Religious Studies (MA Hons) (Year 4),4,0,0,4,4,1
S1,Student06657,"Arts, Humanities and Social Science (BA) (AHSS) (SPS) - (Full-time) (Year 3)",4,1,1,2,1,0
S1,Student06658,Mathematics and Statistics (BSc Hons) (Year 4),6,1,1,4,2,0
S1,Student06659,Architecture (MA Hons) (Year 4),7,4,1,3,3,1
S1,Student06660,Economics and Mathematics (MA Hons) (Year 4),6,0,0,4,2,0
S1,Student06661,Ancient History (MA Hons) (Year 4),4,1,1,2,1,0
S1,Student06662,International Relations and International Law (MA Hons) (Year 4),3,0,0,3,2,1
S1,Student06663,Mathematics and Physics (BSc Hons) (Year 3),9,2,1,4,2,0
S1,Student06664,English Literature (MA Hons) (Year 4),2,0,0,2,1,0
S1,Student06665,Philosophy and Theology (MA Hons) (Year 3),3,0,0,3,1,0
S1,Student06666,Social Work (BSc Hons) (Year 4),8,3,1,4,3,1
S1,Student06667,Business with Marketing MA (Hons) (Year 4),5,0,0,3,0,0
S1,Student06668,History (MA Hons) (Year 4),2,0,0,1,1,1
S1,Student06669,Accounting and Business MA (Hons) (Year 4),7,0,0,5,2,0
S1,Student06670,Philosophy (MA Hons) (Year 4),1,0,0,1,0,0
S1,Student06671,Biomedical Sciences BSc (Hons) (Year 4),1,0,0,1,1,1
S1,Student06672,Architecture (MA Hons) (Year 4),5,1,1,3,2,1
S1,Student06673,Sport and Recreation Management (BSc Hons) (Year 4),8,3,1,4,0,0
S1,Student06674,Mechanical Engineering (MEng Hons) (Year 4),9,1,1,5,3,1
S1,Student06675,International Business with Chinese MA (Hons) (Year 4),10,4,1,5,2,0
S1,Student06676,Russian Studies and History (MA Hons) (Year 4),6,1,1,3,1,0
S1,Student06677,Mechanical Engineering (BEng Hons) (Year 4),10,3,1,5,4,1
S1,Student06678,English Literature (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student06679,Nursing (BN) (Year 4),9,8,1,3,1,0
S1,Student06680,Celtic and Archaeology (MA Hons) (Year 4),3,0,0,1,0,0
S1,Student06681,English Literature (MA Hons) (Year 4),2,0,0,2,1,0
S1,Student06682,Graphic Design (BA Hons) (Year 3),6,0,0,3,1,0
S1,Student06683,Mechanical Engineering (MEng Hons) (Year 4),10,3,1,5,3,1
S1,Student06684,Informatics (MInf) (Year 4),11,1,1,5,2,0
S1,Student06685,History and Politics (MA Hons) (Year 4),1,0,0,1,0,0
S1,Student06686,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),3,0,0,3,2,1
S1,Student06687,Social Anthropology (MA Hons) (Year 4),5,1,1,3,1,0
S1,Student06688,Spanish (MA Hons) (Year 4),4,0,0,2,2,1
S1,Student06689,Theoretical Physics (MPhys) (Year 4),19,13,1,5,3,1
S1,Student06690,Education Studies (MA Hons) (Year 4),8,5,1,2,1,0
S1,Student06691,Biomedical Sciences BSc (Hons) (Year 4),5,0,0,5,5,1
S1,Student06692,Sociology (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student06693,Biological Sciences (Genetics) (BSc Hons) (Year 4),11,6,1,4,3,1
S1,Student06694,Theology MA(Hons) (Year 4),4,2,1,2,2,1
S1,Student06695,Classical Studies (MA Hons) (Year 4),3,1,1,2,2,1
S1,Student06696,English Language and Literature (MA Hons) (Year 4),2,1,1,1,1,1
S1,Student06697,Social Anthropology (MA Hons) (Year 4),5,1,1,3,1,0
S1,Student06698,Landscape Architecture (MA Hons) (Year 4),8,4,1,5,5,1
S1,Student06699,Biological Sciences (Immunology) (BSc Hons) (Year 4),13,9,1,4,2,0
S1,Student06700,Architecture (MA Hons) (Year 4),4,1,1,2,2,1
S1,Student06701,International Business (MA Hons) (Year 4),5,0,0,3,1,0
S1,Student06702,Architecture (MA Hons) (Year 4),4,1,1,3,3,1
S1,Student06703,Finance and Business MA (Hons) (Year 4),5,0,0,3,0,0
S1,Student06704,History (MA Hons) (Year 4),2,0,0,2,0,0
