scenario,scheduled_rows,scheduled_unique_events,students_in_analysis,students_with_clash,clash_rate,avg_clash_count,students_with_majority_lunch,majority_lunch_rate,n_programmes,avg_events_per_room,avg_used_minutes_per_room,avg_occupancy_ratio
S0,7796,7796,24367,15117,0.620388229983174,3.5048631345672425,10693,0.43883120613945087,1914,12.697068403908794,761.8241042345277,0.5549753309301417
S1,7794,7794,24375,15074,0.6184205128205128,3.51294358974359,10717,0.43967179487179486,1914,12.714518760195759,762.8711256117455,0.5550014079463437
S2,7215,7215,24299,14871,0.6120004938474835,3.4332688588007736,12864,0.5294045022428907,1911,11.827868852459016,709.672131147541,0.5618496565703108
